time_s,speed_mps,steering_rad
0.0,0.000000000,0.000000000
0.1,0.000000000,0.000000000
0.2,0.000000000,0.000000000
0.3,0.000000000,0.000000000
0.4,0.000000000,0.000000000
0.5,0.000000000,0.000000000
0.6,0.000000000,0.000000000
0.7,0.000000000,0.000000000
0.8,0.000000000,0.000000000
0.9,0.000000000,0.000000000
1.0,0.000000000,0.000000000
1.1,0.000000000,0.000000000
1.2,0.000000000,0.000000000
1.3,0.000000000,0.000000000
1.4,0.000000000,0.000000000
1.5,0.000000000,0.000000000
1.6,0.000000000,0.000000000
1.7,0.000000000,0.000000000
1.8,0.000000000,0.000000000
1.9,0.000000000,0.000000000
2.0,0.000000000,0.000000000
2.1,0.050000000,0.000000000
2.2,0.100000000,0.000000000
2.3,0.150000000,0.000000000
2.4,0.200000000,0.000000000
2.5,0.250000000,0.000000000
2.6,0.300000000,0.000000000
2.7,0.350000000,0.000000000
2.8,0.400000000,0.000000000
2.9,0.450000000,0.000000000
3.0,0.500000000,0.000000000
3.1,0.550000000,0.000000000
3.2,0.600000000,0.000000000
3.3,0.650000000,0.000000000
3.4,0.700000000,0.000000000
3.5,0.750000000,0.000000000
3.6,0.800000000,0.000000000
3.7,0.850000000,0.000000000
3.8,0.900000000,0.000000000
3.9,0.950000000,0.000000000
4.0,1.000000000,0.000000000
4.1,1.050000000,0.000000000
4.2,1.100000000,0.000000000
4.3,1.150000000,0.000000000
4.4,1.200000000,0.000000000
4.5,1.250000000,0.000000000
4.6,1.300000000,0.000000000
4.7,1.350000000,0.000000000
4.8,1.400000000,0.000000000
4.9,1.450000000,0.000000000
5.0,1.500000000,0.000000000
5.1,1.500000000,0.000000000
5.2,1.500000000,0.000000000
5.3,1.500000000,0.000000000
5.4,1.500000000,0.000000000
5.5,1.500000000,0.000000000
5.6,1.500000000,0.000000000
5.7,1.500000000,0.000000000
5.8,1.500000000,0.000000000
5.9,1.500000000,0.000000000
6.0,1.500000000,0.000000000
6.1,1.500000000,0.000000000
6.2,1.500000000,0.000000000
